Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter
1696185443.3044555,4,1696185443,303313493,GPS1_Frame,42.334197998046875,-71.09566497802734,20.899999618530273,327349.1875,4689010.0,19,T
1696185444.3047864,5,1696185444,303526639,GPS1_Frame,42.33420181274414,-71.09567260742188,20.700000762939453,327348.65625,4689010.5,19,T
1696185445.305321,6,1696185445,304239273,GPS1_Frame,42.334205627441406,-71.09568786621094,20.700000762939453,327347.6875,4689011.0,19,T
1696185446.3042033,7,1696185446,303034543,GPS1_Frame,42.33420944213867,-71.095703125,20.700000762939453,327346.59375,4689011.0,19,T
1696185447.3041012,8,1696185447,302964687,GPS1_Frame,42.33421325683594,-71.09571075439453,20.600000381469727,327345.65625,4689012.0,19,T
1696185448.304562,9,1696185448,303434133,GPS1_Frame,42.3342170715332,-71.0957260131836,20.399999618530273,327344.5625,4689012.0,19,T
1696185449.3291192,10,1696185449,328019142,GPS1_Frame,42.33422088623047,-71.09574127197266,20.299999237060547,327343.46875,4689012.5,19,T
1696185450.3290162,11,1696185450,327825307,GPS1_Frame,42.334224700927734,-71.09574890136719,20.100000381469727,327342.40625,4689013.0,19,T
1696185451.305089,12,1696185451,303920030,GPS1_Frame,42.3342170715332,-71.09577178955078,19.200000762939453,327340.71875,4689012.5,19,T
1696185452.3054025,13,1696185452,304254770,GPS1_Frame,42.33421325683594,-71.09578704833984,18.700000762939453,327339.21875,4689012.0,19,T
1696185453.3047183,14,1696185453,303540229,GPS1_Frame,42.33421325683594,-71.09580993652344,18.200000762939453,327337.6875,4689012.0,19,T
1696185454.3036356,15,1696185454,302483797,GPS1_Frame,42.33421325683594,-71.0958251953125,17.899999618530273,327336.46875,4689012.0,19,T
1696185455.3291879,16,1696185455,328007936,GPS1_Frame,42.33421325683594,-71.09584045410156,17.600000381469727,327335.375,4689012.0,19,T
