Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter
1698242862.2349563,370,1698242862,234429597,GPS1_Frame,42.34031677246094,-71.08890533447266,16.700000762939453,327923.375,4689675.5,19,T
1698242863.2349627,371,1698242863,234302997,GPS1_Frame,42.340335845947266,-71.08885192871094,16.399999618530273,327927.8125,4689677.5,19,T
1698242864.2339334,372,1698242864,233585596,GPS1_Frame,42.34035873413086,-71.08877563476562,16.200000762939453,327933.65625,4689680.0,19,T
1698242865.2337449,373,1698242865,233085870,GPS1_Frame,42.34039306640625,-71.08869934082031,16.100000381469727,327940.3125,4689683.5,19,T
1698242866.2342632,374,1698242866,233646154,GPS1_Frame,42.34042739868164,-71.08860778808594,16.100000381469727,327947.84375,4689687.5,19,T
1698242867.2335112,375,1698242867,232976198,GPS1_Frame,42.3404655456543,-71.08851623535156,16.100000381469727,327955.78125,4689691.5,19,T
1698242868.2333663,376,1698242868,232691526,GPS1_Frame,42.34050750732422,-71.08841705322266,16.100000381469727,327963.84375,4689695.5,19,T
1698242869.2387648,377,1698242869,238145112,GPS1_Frame,42.340545654296875,-71.08831787109375,16.200000762939453,327972.0625,4689700.0,19,T
1698242870.2292159,378,1698242870,228647470,GPS1_Frame,42.34058380126953,-71.08821868896484,16.100000381469727,327980.25,4689704.0,19,T
1698242871.2330446,379,1698242871,232317686,GPS1_Frame,42.34062576293945,-71.08811950683594,16.200000762939453,327988.59375,4689708.5,19,T
1698242872.2333486,380,1698242872,232711076,GPS1_Frame,42.340667724609375,-71.08802032470703,16.399999618530273,327996.96875,4689713.0,19,T
1698242873.2335935,381,1698242873,232900142,GPS1_Frame,42.3407096862793,-71.08792114257812,16.600000381469727,328005.4375,4689717.0,19,T
1698242874.2328136,382,1698242874,232335567,GPS1_Frame,42.34075164794922,-71.08782196044922,16.700000762939453,328013.65625,4689721.5,19,T
1698242875.2316978,383,1698242875,231373310,GPS1_Frame,42.340789794921875,-71.08772277832031,16.899999618530273,328021.71875,4689725.5,19,T
1698242876.2340152,384,1698242876,233140230,GPS1_Frame,42.34082794189453,-71.0876235961914,17.200000762939453,328029.8125,4689730.0,19,T
1698242877.2336,385,1698242877,233100175,GPS1_Frame,42.34086608886719,-71.08753204345703,17.299999237060547,328037.59375,4689734.0,19,T
1698242878.2333279,386,1698242878,232585668,GPS1_Frame,42.340904235839844,-71.08744049072266,17.399999618530273,328045.09375,4689737.5,19,T
1698242879.2321765,387,1698242879,231586933,GPS1_Frame,42.340938568115234,-71.08735656738281,17.399999618530273,328052.34375,4689741.5,19,T
1698242880.2329378,388,1698242880,232243299,GPS1_Frame,42.340972900390625,-71.08727264404297,17.399999618530273,328059.3125,4689745.0,19,T
1698242881.2331586,389,1698242881,232752084,GPS1_Frame,42.34101104736328,-71.08718872070312,17.5,328066.125,4689749.0,19,T
1698242882.2329612,390,1698242882,232288360,GPS1_Frame,42.34104537963867,-71.08711242675781,17.600000381469727,328072.6875,4689753.0,19,T
1698242883.2309122,391,1698242883,230524778,GPS1_Frame,42.341087341308594,-71.0870361328125,17.799999237060547,328079.09375,4689757.5,19,T
1698242884.2319348,392,1698242884,231438636,GPS1_Frame,42.341129302978516,-71.08695983886719,18.100000381469727,328085.65625,4689762.0,19,T
1698242885.2336693,393,1698242885,233136415,GPS1_Frame,42.34117126464844,-71.08688354492188,18.5,328091.96875,4689766.5,19,T
1698242886.2310588,394,1698242886,230761766,GPS1_Frame,42.34121322631836,-71.0868148803711,18.700000762939453,328097.84375,4689771.0,19,T
1698242887.2313917,395,1698242887,230793714,GPS1_Frame,42.34125900268555,-71.08673858642578,18.899999618530273,328103.875,4689775.5,19,T
1698242888.2315037,396,1698242888,230950832,GPS1_Frame,42.3412971496582,-71.086669921875,18.799999237060547,328109.875,4689780.0,19,T
1698242889.2325587,397,1698242889,231977462,GPS1_Frame,42.341339111328125,-71.08660125732422,18.799999237060547,328115.5,4689784.5,19,T
1698242890.2316825,398,1698242890,231137752,GPS1_Frame,42.341373443603516,-71.0865478515625,18.899999618530273,328120.25,4689788.0,19,T
1698242891.2310379,399,1698242891,230499744,GPS1_Frame,42.341400146484375,-71.08650207519531,19.100000381469727,328124.15625,4689791.0,19,T
1698242892.2322896,400,1698242892,231590509,GPS1_Frame,42.3414192199707,-71.08645629882812,19.200000762939453,328127.78125,4689793.0,19,T
1698242893.2338238,401,1698242893,233119726,GPS1_Frame,42.3414306640625,-71.08641815185547,19.600000381469727,328131.25,4689794.5,19,T
1698242894.230877,402,1698242894,230523347,GPS1_Frame,42.3414306640625,-71.08637237548828,19.700000762939453,328134.8125,4689794.0,19,T
1698242895.2305698,403,1698242895,229946613,GPS1_Frame,42.341407775878906,-71.0863265991211,19.5,328138.59375,4689791.5,19,T
1698242896.2317483,404,1698242896,231102228,GPS1_Frame,42.341373443603516,-71.0862808227539,19.100000381469727,328142.34375,4689787.5,19,T
1698242897.2314343,405,1698242897,230902671,GPS1_Frame,42.341331481933594,-71.08622741699219,18.799999237060547,328146.5,4689782.5,19,T
1698242898.2310884,406,1698242898,230449914,GPS1_Frame,42.341285705566406,-71.08617401123047,18.399999618530273,328150.78125,4689777.5,19,T
1698242899.2301688,407,1698242899,229803323,GPS1_Frame,42.34123992919922,-71.08612060546875,18.0,328155.1875,4689772.5,19,T
1698242900.2291265,408,1698242900,228527784,GPS1_Frame,42.341190338134766,-71.0860595703125,17.299999237060547,328159.84375,4689767.0,19,T
1698242901.22936,409,1698242901,228608608,GPS1_Frame,42.34114456176758,-71.08599853515625,16.899999618530273,328164.65625,4689761.5,19,T
1698242902.2296598,410,1698242902,229021549,GPS1_Frame,42.34109878540039,-71.08594512939453,16.600000381469727,328169.34375,4689756.5,19,T
1698242903.228687,411,1698242903,228056907,GPS1_Frame,42.34105682373047,-71.08588409423828,16.399999618530273,328173.75,4689751.5,19,T
1698242904.2315395,412,1698242904,230853557,GPS1_Frame,42.34101486206055,-71.0858383178711,16.299999237060547,328177.90625,4689747.0,19,T
